model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
BiGRU_16_20_15secs,0.054645,0.063116,0.073985,0.084321,0.049229,0.236763,0.109571,0.606557,0.086215,0.054408
BiLSTM_16_30_15secs,0.043160,0.067680,0.073877,0.078342,0.048753,0.288691,0.117360,0.863332,0.096367,0.053965
AttentionBiLSTM_16_30_15secs,0.023039,0.055020,0.071400,0.074195,0.049374,0.339395,0.112847,0.627396,0.241354,0.049332
BiGRU_16_30_15secs,0.043718,0.067378,0.073549,0.082523,0.049116,0.255660,0.116635,0.773582,0.102382,0.053184
BiLSTM_16_40_15secs,0.049589,0.086306,0.074307,0.077384,0.049033,0.289559,0.110461,0.871873,0.152765,0.057065
AttentionBiLSTM_16_40_15secs,0.022838,0.061629,0.071219,0.105085,0.049522,0.345612,0.103518,0.651281,0.250104,0.048625
BiGRU_16_40_15secs,0.062135,0.072222,0.074163,0.174052,0.049176,0.261917,0.109316,0.860478,0.145697,0.058984
BiLSTM_16_50_15secs,0.061227,0.074746,0.074297,0.156571,0.048812,0.294460,0.112085,0.885532,0.125975,0.059589
AttentionBiLSTM_16_50_15secs,0.025049,0.060605,0.071956,0.105501,0.049585,0.345937,0.104325,0.683063,0.265419,0.050125
BiGRU_16_50_15secs,0.087450,0.064754,0.075394,0.179802,0.049092,0.269619,0.110374,0.873837,0.136397,0.058478
BiLSTM_32_10_15secs,0.033326,0.081906,0.071776,0.092014,0.048566,0.250839,0.114743,0.426097,0.081589,0.056847
AttentionBiLSTM_32_10_15secs,0.025860,0.057462,0.071921,0.075394,0.049657,0.392872,0.109030,0.544440,0.192966,0.049392
BiGRU_32_10_15secs,0.037195,0.070346,0.072013,0.087071,0.047961,0.228535,0.109984,0.361949,0.060563,0.053392
BiLSTM_32_20_15secs,0.047562,0.058696,0.073079,0.089576,0.049435,0.261965,0.120333,0.258142,0.053412,0.064568
AttentionBiLSTM_32_20_15secs,0.028011,0.058600,0.071681,0.077857,0.049651,0.407167,0.109015,0.560752,0.203256,0.050243
BiGRU_32_20_15secs,0.043542,0.076334,0.072931,0.099488,0.048626,0.230735,0.116943,0.622559,0.039957,0.056450
BiLSTM_32_30_15secs,0.033992,0.084112,0.074269,0.099249,0.050138,0.267169,0.112313,0.494617,0.083830,0.061186
AttentionBiLSTM_32_30_15secs,0.025683,0.055186,0.071825,0.087929,0.049353,0.408453,0.109901,0.580771,0.213090,0.050940
