model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
BiGRU_8_20_15secs,0.083773,0.037560,0.069927,0.048712,0.041124,0.042195,0.071962,0.166121,0.334097,0.031737
BiLSTM_8_30_15secs,0.096639,0.038903,0.079963,0.061969,0.041107,0.047065,0.074220,0.169738,0.366117,0.031750
AttentionBiLSTM_8_30_15secs,0.084145,0.048659,0.068141,0.052348,0.041190,0.048025,0.066578,0.140977,0.306349,0.031653
BiGRU_8_30_15secs,0.090427,0.036020,0.072733,0.060017,0.041062,0.045072,0.068309,0.182374,0.317671,0.032159
BiLSTM_8_40_15secs,0.109820,0.042733,0.078533,0.064769,0.041669,0.047326,0.072629,0.200143,0.377901,0.032180
AttentionBiLSTM_8_40_15secs,0.085808,0.046811,0.068064,0.056860,0.041903,0.050275,0.073106,0.155623,0.323104,0.031950
BiGRU_8_40_15secs,0.094122,0.038321,0.070931,0.063068,0.041477,0.046848,0.070745,0.192119,0.338468,0.032807
BiLSTM_8_50_15secs,0.115611,0.052776,0.077161,0.071258,0.042509,0.048780,0.076662,0.201088,0.386811,0.032670
AttentionBiLSTM_8_50_15secs,0.089034,0.046723,0.067656,0.053178,0.042168,0.050640,0.088481,0.170310,0.345694,0.032773
BiGRU_8_50_15secs,0.103623,0.040017,0.069332,0.069665,0.042195,0.046631,0.073273,0.197403,0.359054,0.033593
BiLSTM_16_10_15secs,0.084281,0.050451,0.085436,0.048908,0.041218,0.039426,0.059044,0.118485,0.285149,0.033729
AttentionBiLSTM_16_10_15secs,0.085895,0.048020,0.071760,0.048822,0.040888,0.037155,0.060354,0.094765,0.245452,0.031586
BiGRU_16_10_15secs,0.077329,0.039794,0.089118,0.051570,0.041769,0.039778,0.063855,0.123159,0.302126,0.031587
BiLSTM_16_20_15secs,0.088102,0.039183,0.081751,0.049972,0.041110,0.042844,0.065843,0.133780,0.300738,0.031775
AttentionBiLSTM_16_20_15secs,0.088235,0.045719,0.070313,0.048202,0.040926,0.040812,0.059843,0.119419,0.268375,0.031736
