model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
BiLSTM8_Dropout20_15secs,0.034,0.071,0.084,0.118,0.054,0.292,0.119,0.851,0.112,0.047
BiLSTM8_Dropout30_15secs,0.079,0.082,0.084,0.085,0.054,0.295,0.110,0.883,0.128,0.048
BiLSTM8_Dropout40_15secs,0.050,0.076,0.084,0.098,0.055,0.298,0.111,0.886,0.085,0.046
BiLSTM8_Dropout50_15secs,0.090,0.083,0.100,0.136,0.055,0.311,0.112,0.883,0.121,0.089
BiLSTM16_Dropout10_15secs,0.023,0.059,0.083,0.088,0.054,0.267,0.115,0.587,0.100,0.055
BiLSTM16_Dropout20_15secs,0.040,0.064,0.084,0.089,0.054,0.287,0.128,0.843,0.134,0.046
BiLSTM16_Dropout30_15secs,0.034,0.065,0.085,0.090,0.054,0.295,0.128,0.879,0.117,0.046
BiLSTM16_Dropout40_15secs,0.039,0.066,0.085,0.083,0.054,0.299,0.120,0.878,0.097,0.046
BiLSTM16_Dropout50_15secs,0.074,0.073,0.085,0.163,0.054,0.304,0.119,0.884,0.149,0.047
BiLSTM32_Dropout10_15secs,0.037,0.060,0.082,0.096,0.056,0.243,0.120,0.444,0.067,0.052
BiLSTM32_Dropout20_15secs,0.040,0.068,0.083,0.098,0.054,0.284,0.128,0.474,0.069,0.055
BiLSTM32_Dropout30_15secs,0.030,0.076,0.084,0.102,0.055,0.277,0.132,0.743,0.064,0.057
BiLSTM32_Dropout40_15secs,0.067,0.064,0.086,0.101,0.055,0.281,0.132,0.809,0.060,0.053
BiLSTM32_Dropout50_15secs,0.062,0.070,0.085,0.098,0.054,0.287,0.121,0.857,0.124,0.053
BiLSTM64_Dropout10_15secs,0.041,0.068,0.083,0.101,0.054,0.250,0.094,0.238,0.053,0.048
BiLSTM64_Dropout20_15secs,0.032,0.059,0.083,0.107,0.055,0.270,0.105,0.732,0.051,0.052
BiLSTM64_Dropout30_15secs,0.031,0.063,0.084,0.117,0.056,0.266,0.120,0.754,0.056,0.059
BiLSTM64_Dropout40_15secs,0.044,0.066,0.084,0.113,0.055,0.283,0.129,0.861,0.075,0.064
BiLSTM64_Dropout50_15secs,0.054,0.070,0.086,0.117,0.054,0.284,0.130,0.766,0.113,0.054
BiLSTM128_Dropout10_15secs,0.027,0.073,0.083,0.108,0.054,0.224,0.090,0.123,0.053,0.050
BiLSTM128_Dropout20_15secs,0.042,0.061,0.083,0.124,0.054,0.245,0.100,0.110,0.040,0.051
BiLSTM128_Dropout30_15secs,0.055,0.056,0.084,0.129,0.055,0.247,0.107,0.298,0.120,0.052
BiLSTM128_Dropout40_15secs,0.048,0.061,0.084,0.134,0.055,0.269,0.127,0.633,0.022,0.052
BiLSTM128_Dropout50_15secs,0.040,0.055,0.084,0.137,0.055,0.275,0.125,0.645,0.064,0.054
BiLSTM256_Dropout10_15secs,0.031,0.061,0.084,0.112,0.054,0.247,0.088,0.211,0.043,0.048
BiLSTM256_Dropout20_15secs,0.031,0.073,0.084,0.130,0.054,0.242,0.094,0.245,0.037,0.051
BiLSTM256_Dropout30_15secs,0.045,0.055,0.085,0.132,0.055,0.266,0.103,0.494,0.039,0.049
BiLSTM256_Dropout40_15secs,0.062,0.065,0.084,0.141,0.054,0.263,0.113,0.571,0.018,0.054
BiLSTM256_Dropout50_15secs,0.047,0.067,0.086,0.152,0.055,0.276,0.127,0.686,0.031,0.052
AttentionBiLSTM8_Dropout10_15secs,0.025,0.054,0.081,0.069,0.055,0.301,0.112,0.629,0.236,0.043
AttentionBiLSTM8_Dropout20_15secs,0.023,0.054,0.081,0.081,0.055,0.300,0.111,0.662,0.249,0.043
AttentionBiLSTM8_Dropout30_15secs,0.021,0.054,0.081,0.106,0.055,0.290,0.113,0.691,0.284,0.043
AttentionBiLSTM8_Dropout40_15secs,0.020,0.058,0.081,0.132,0.055,0.283,0.116,0.727,0.296,0.043
AttentionBiLSTM8_Dropout50_15secs,0.018,0.059,0.081,0.232,0.056,0.280,0.118,0.760,0.313,0.045
AttentionBiLSTM16_Dropout10_15secs,0.027,0.060,0.082,0.075,0.054,0.321,0.119,0.577,0.236,0.044
AttentionBiLSTM16_Dropout20_15secs,0.026,0.055,0.081,0.071,0.054,0.326,0.110,0.602,0.229,0.043
AttentionBiLSTM16_Dropout30_15secs,0.022,0.057,0.081,0.070,0.055,0.334,0.109,0.625,0.233,0.043
AttentionBiLSTM16_Dropout40_15secs,0.022,0.055,0.081,0.084,0.055,0.340,0.109,0.649,0.250,0.043
AttentionBiLSTM16_Dropout50_15secs,0.025,0.057,0.081,0.110,0.054,0.345,0.120,0.681,0.273,0.044
AttentionBiLSTM32_Dropout10_15secs,0.025,0.061,0.082,0.077,0.054,0.389,0.119,0.543,0.216,0.045
AttentionBiLSTM32_Dropout20_15secs,0.034,0.058,0.082,0.084,0.054,0.404,0.119,0.560,0.245,0.044
AttentionBiLSTM32_Dropout30_15secs,0.029,0.057,0.082,0.086,0.054,0.405,0.118,0.576,0.236,0.045
AttentionBiLSTM32_Dropout40_15secs,0.034,0.056,0.082,0.086,0.054,0.401,0.107,0.594,0.240,0.043
AttentionBiLSTM32_Dropout50_15secs,0.025,0.056,0.081,0.087,0.055,0.401,0.119,0.615,0.248,0.043
AttentionBiLSTM64_Dropout10_15secs,0.032,0.065,0.082,0.085,0.055,0.449,0.125,0.532,0.234,0.047
AttentionBiLSTM64_Dropout20_15secs,0.027,0.060,0.082,0.088,0.054,0.458,0.118,0.541,0.238,0.046
AttentionBiLSTM64_Dropout30_15secs,0.032,0.063,0.082,0.083,0.054,0.469,0.118,0.548,0.232,0.048
AttentionBiLSTM64_Dropout40_15secs,0.029,0.059,0.082,0.104,0.054,0.474,0.118,0.552,0.234,0.046
AttentionBiLSTM64_Dropout50_15secs,0.035,0.056,0.082,0.099,0.054,0.478,0.109,0.566,0.237,0.047
AttentionBiLSTM128_Dropout10_15secs,0.036,0.064,0.082,0.089,0.054,0.488,0.116,0.516,0.209,0.050
AttentionBiLSTM128_Dropout20_15secs,0.036,0.066,0.082,0.092,0.054,0.476,0.122,0.524,0.222,0.050
AttentionBiLSTM128_Dropout30_15secs,0.030,0.057,0.082,0.096,0.054,0.483,0.122,0.526,0.231,0.050
AttentionBiLSTM128_Dropout40_15secs,0.023,0.061,0.083,0.107,0.054,0.491,0.121,0.536,0.230,0.048
AttentionBiLSTM128_Dropout50_15secs,0.024,0.059,0.082,0.104,0.054,0.503,0.109,0.544,0.228,0.053
AttentionBiLSTM256_Dropout10_15secs,0.031,0.065,0.082,0.088,0.055,0.520,0.110,0.503,0.222,0.050
AttentionBiLSTM256_Dropout20_15secs,0.044,0.066,0.082,0.087,0.054,0.505,0.109,0.508,0.188,0.047
AttentionBiLSTM256_Dropout30_15secs,0.025,0.066,0.082,0.091,0.054,0.492,0.105,0.550,0.193,0.047
AttentionBiLSTM256_Dropout40_15secs,0.027,0.065,0.082,0.091,0.055,0.489,0.102,0.552,0.218,0.048
AttentionBiLSTM256_Dropout50_15secs,0.024,0.063,0.082,0.096,0.054,0.495,0.103,0.564,0.214,0.047
LSTM10_15secs,0.023740,0.059705,0.082068,0.079501,0.054180,0.079734,0.086463,0.115030,0.055620,0.047118
GRU10_15secs,0.051735,0.048518,0.081747,0.096402,0.054608,0.188159,0.083726,0.358884,0.055666,0.049497
LSTM20_15secs,0.022409,0.057130,0.082413,0.074816,0.054228,0.110127,0.082207,0.128867,0.058398,0.048439
GRU20_15secs,0.044120,0.051589,0.081749,0.077324,0.054541,0.127135,0.083280,0.129689,0.063592,0.051384
LSTM30_15secs,0.027956,0.056844,0.082777,0.070251,0.054415,0.081705,0.083138,0.058731,0.058152,0.048703
GRU30_15secs,0.044585,0.052952,0.081688,0.071377,0.054498,0.098934,0.082401,0.300675,0.061274,0.050239
LSTM40_15secs,0.028970,0.058018,0.082202,0.069607,0.054196,0.133310,0.080932,0.124015,0.056417,0.047976
GRU40_15secs,0.068277,0.050712,0.083790,0.074291,0.054376,0.104868,0.079122,0.044386,0.057268,0.050349
LSTM50_15secs,0.024670,0.057450,0.082612,0.073322,0.054476,0.058513,0.079951,0.108599,0.059779,0.049342
GRU50_15secs,0.035344,0.050728,0.083061,0.075766,0.054125,0.084287,0.079700,0.383035,0.058534,0.050552
LSTM60_15secs,0.025193,0.055189,0.082782,0.071783,0.054506,0.066199,0.082173,0.028347,0.060187,0.046439
GRU60_15secs,0.035596,0.061016,0.082925,0.072667,0.054186,0.099005,0.079464,0.384139,0.057891,0.048285
LSTM70_15secs,0.026852,0.057555,0.082202,0.071507,0.054424,0.092390,0.081945,0.148866,0.060800,0.045951
GRU70_15secs,0.041028,0.056942,0.082911,0.074195,0.054177,0.079026,0.078953,0.169218,0.059071,0.048070
LSTM80_15secs,0.030309,0.062211,0.082590,0.071276,0.054383,0.097705,0.081762,0.169454,0.057115,0.045667
GRU80_15secs,0.038367,0.047417,0.082796,0.072048,0.054196,0.067725,0.079144,0.099937,0.063235,0.049458
LSTM90_15secs,0.026670,0.061619,0.082390,0.073334,0.054321,0.147702,0.079898,0.104545,0.066042,0.047387
GRU90_15secs,0.029072,0.049366,0.083513,0.072720,0.054148,0.114996,0.079026,0.287183,0.060997,0.045426
LSTM100_15secs,0.021228,0.057273,0.082506,0.074055,0.054191,0.162082,0.080837,0.153262,0.061193,0.046747
GRU100_15secs,0.059473,0.049977,0.083319,0.072683,0.054155,0.106762,0.080919,0.177475,0.060535,0.044701
LSTM10_15secs_Dropout10,0.055889,0.063272,0.083963,0.077637,0.054269,0.270677,0.120220,0.786488,0.133067,0.049207
GRU10_15secs_Dropout10,0.067323,0.060774,0.083210,0.136330,0.054299,0.280330,0.123464,0.761897,0.129136,0.044820
LSTM10_15secs_Dropout20,0.075297,0.078548,0.083846,0.114997,0.054450,0.284430,0.121774,0.870358,0.117787,0.055342
GRU10_15secs_Dropout20,0.095589,0.067540,0.083595,0.130764,0.054666,0.286796,0.116835,0.858155,0.131486,0.043001
LSTM10_15secs_Dropout30,0.049161,0.084403,0.094417,0.115801,0.054593,0.298008,0.111568,0.885731,0.123792,0.067650
GRU10_15secs_Dropout30,0.078058,0.064293,0.083033,0.141377,0.054680,0.284939,0.109232,0.883702,0.216540,0.044121
LSTM10_15secs_Dropout40,0.151141,0.085638,0.099488,0.125152,0.054728,0.287439,0.112759,0.883448,0.220904,0.163476
GRU10_15secs_Dropout40,0.096413,0.068497,0.096012,0.150337,0.054697,0.286281,0.109947,0.881572,0.110938,0.046558
LSTM10_15secs_Dropout50,0.166189,0.084767,0.103712,0.115216,0.054823,0.295065,0.114694,0.877974,0.187742,0.173483
GRU10_15secs_Dropout50,0.149087,0.073494,0.102006,0.153036,0.054752,0.294546,0.111629,0.878384,0.269768,0.117850
LSTM10_15secs_Dropout60,0.178360,0.075538,0.110428,0.137048,0.055785,0.294061,0.115560,0.873370,0.266181,0.197663
GRU10_15secs_Dropout60,0.185191,0.075486,0.106014,0.142501,0.055901,0.301356,0.114255,0.875076,0.269487,0.178355
LSTM10_15secs_Dropout70,0.239052,0.081166,0.117016,0.154911,0.056929,0.301825,0.117556,0.870890,0.271331,0.215944
GRU10_15secs_Dropout70,0.211046,0.070503,0.110431,0.153359,0.056645,0.306395,0.116462,0.872017,0.308785,0.202721
LSTM10_Dense1_15secs,0.018455,0.063081,0.081941,0.090128,0.054222,0.172757,0.089345,0.147650,0.059807,0.048695
GRU10_Dense1_15secs,0.028430,0.047218,0.082006,0.105079,0.054840,0.177472,0.083206,0.247290,0.083436,0.052391
LSTM10_Dense3_15secs,0.022835,0.049423,0.082013,0.072774,0.054240,0.197677,0.090611,0.084110,0.061697,0.050600
GRU10_Dense3_15secs,0.033534,0.047762,0.081904,0.086066,0.054698,0.164721,0.082936,0.469878,0.051729,0.054835
LSTM10_Dense5_15secs,0.023654,0.054638,0.081944,0.077924,0.054373,0.226154,0.083614,0.104377,0.060258,0.049264
GRU10_Dense5_15secs,0.036550,0.047083,0.082772,0.091538,0.054525,0.149111,0.082167,0.602083,0.064677,0.055100
LSTM10_Dense7_15secs,0.022088,0.054514,0.081957,0.082289,0.054414,0.180202,0.082673,0.213540,0.063454,0.051692
GRU10_Dense7_15secs,0.021179,0.049669,0.082517,0.075146,0.054488,0.186049,0.080359,0.496703,0.062164,0.054779
LSTM10_Dense9_15secs,0.020099,0.055959,0.081960,0.083487,0.054359,0.202056,0.085435,0.036338,0.066412,0.050263
GRU10_Dense9_15secs,0.033862,0.053389,0.082174,0.086498,0.054682,0.189023,0.095632,0.423672,0.068598,0.054083
Dense10_LSTM10_15secs,0.020918,0.051468,0.082310,0.097735,0.054605,0.165653,0.090059,0.254561,0.015714,0.045458
Dense10_GRU10_15secs,0.023101,0.062026,0.082738,0.110889,0.054651,0.164245,0.098766,0.353746,0.030512,0.046950
